time,logger,level,database,message,exception
2013-02-23 17:49:05.4060,Raven.Database.Server.HttpServer,Debug,,Request #  25: GET     -    26 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 17:52:19.1541,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 17:52:19.1541,Raven.Database.Server.HttpServer,Debug,,Request #  26: GET     -    26 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 17:55:08.7878,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 17:55:08.7878,Raven.Database.Server.HttpServer,Debug,,Request #  27: GET     -    32 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 17:56:14.9246,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 17:56:14.9246,Raven.Database.Server.HttpServer,Debug,,Request #  28: GET     -    47 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:08:22.6382,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 18:08:22.6382,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 18:33:22.2850,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:33:22.2850,Raven.Database.Server.HttpServer,Debug,,Request #  29: GET     -    62 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:47:16.9427,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:47:16.9427,Raven.Database.Server.HttpServer,Debug,,Request #  30: GET     -    35 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:48:34.4292,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:48:34.4292,Raven.Database.Server.HttpServer,Debug,,Request #  31: GET     -    88 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:48:54.9194,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:48:54.9194,Raven.Database.Server.HttpServer,Debug,,Request #  32: GET     -    83 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:51:47.0952,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:51:47.0952,Raven.Database.Server.HttpServer,Debug,,Request #  33: GET     -   104 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 18:57:49.4049,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 18:57:49.4049,Raven.Database.Server.HttpServer,Debug,,Request #  34: GET     -   171 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:08:22.6741,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-02-23 19:08:22.6741,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-02-23 19:09:00.5633,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:09:00.5633,Raven.Database.Server.HttpServer,Debug,,Request #  35: GET     -   250 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:09:35.0963,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:09:35.0963,Raven.Database.Server.HttpServer,Debug,,Request #  36: GET     -    34 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:21:22.0487,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-02-23 19:21:22.0487,Raven.Database.Server.HttpServer,Debug,,Request #  37: GET     -    37 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-02-23 19:21:42.1789,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
